stock_symbol,03,04,05,06,07,10,11,12,13,14
CIPLA,8.929343999250696,0.0,0.42573768964750774,14.309738802610951,12.155857514431213,6.342407689335478,0.0,0.0,1.3075087546475543,26.232453886169225
INFY,0.0,0.0,0.0,0.0,0.0,29.15854802398698,3.3191435670178073,0.0,0.0,0.0
ONGC,11.104572864478897,5.190147905681422,5.188883173181463,10.519006193263102,0.0,0.0,0.0,0.0,5.392232212979207,0.0
TCS,0.0,0.0,0.0,0.0,0.0,6.8429390569473805,30.239712547909363,4.002576318604531,0.0,7.1360383428514265
ASIANPAINT,160.64816428773517,28.04041824492259,0.0,0.0,0.0,42.438273890876275,98.9195611090448,0.0,0.0,20.87006509468683
IDFC,13.01661966365712,0.0,11.807895853926675,0.0,0.0,11.958333203684276,0.0,4.644394180225124,5.922573972027025,0.0
RELIANCE,51.63418727305682,26.277302218649844,33.46158478119355,5.308414733937872,0.0,24.814191315867312,50.17632291725862,15.384058675131403,13.095992879596729,4.507733966653154
ICICIBANK,47.71289499004117,18.606024402803033,60.85884912424262,50.490178286329616,0.0,8.558269311420597,36.85564354625875,29.176001428301934,54.84763177851065,4.826982096256914
MARUTI,9.469583973391831,0.0,75.93248445119288,14.986021174304792,0.0,0.0,34.76028997246763,0.0,73.11078925987077,22.363111000696556
ACC,103.58162270928058,0.0,23.34521486479995,24.579606311320653,48.52998734775213,23.055229894651315,0.0,57.15962896355006,68.12151509104977,29.47514424154224
BPCL,16.338124584553945,19.08110572733836,24.629922498295148,0.0,3.977362651747914,6.954254960607602,0.05894440482446134,0.0,0.0,0.0
LT,36.933663028610376,0.0,77.4249108934751,31.747914855645075,0.0,0.0,0.0,0.0,17.28558407882081,43.5524173493896
ITC,4.13013627049908,3.2590763619944876,12.197181610051063,8.137370565927133,10.437657229820974,10.331404918591014,0.0,0.0,2.6341018492914214,1.4624102725747279
BAJAJ-AUTO,41.37111943224571,74.9458225193119,54.40833304155673,22.437853206477133,47.73444178794472,213.01726261636955,189.07136461193505,120.87283113619378,70.17308433361093,76.7456457503672
WIPRO,0.0,0.0,4.6881306923476505,16.680630162840053,0.0,0.0,10.43376871167558,6.10764814908659,0.0,6.388797429397545
JPASSOCIAT,9.218371162243772,7.241667828807361,10.855840320127484,4.630083701300598,0.45572985967431123,3.1793775435332563,0.0,0.0,0.0,0.0
AXISBANK,62.2621370562501,36.01504089751106,0.0,11.182981054412144,0.0,20.38976006088083,24.986422431396267,35.11808594360412,81.66154132840958,0.0
TATAMOTORS,8.962120761978186,10.01474244441802,19.01334048193306,5.572466860379687,0.0,3.4728842931981916,23.989311648955884,12.443411173564327,24.695083327105184,21.767023160069744
NTPC,0.7003279154453805,0.0,6.931106586005273,0.1365409550058428,0.0,3.602727008644779,1.7179583638294311,0.0,10.162070253499596,8.950745303637904
HDFC,16.420925921569086,0.3806825094462069,17.394297964340073,13.186347821182062,85.6205984851858,30.09970732996726,0.0,0.0,0.0,14.090250442900007
